<<<<<<< HEAD
点群が入力されてopen3dへ変換するまでの時間は : 0.15353846549987793秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016829967498779297秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15747404098510742秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014698505401611328秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15278291702270508秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016927719116210938秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16231918334960938秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001760244369506836秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1531212329864502秒
ネットワークから姿勢データを得るまでの時間は　 : 0.002093076705932617秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1567983627319336秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014994144439697266秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15468049049377441秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015411376953125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17714667320251465秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015578269958496094秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15842223167419434秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016062259674072266秒
点群が入力されてopen3dへ変換するまでの時間は : 0.24238944053649902秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017242431640625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.19702720642089844秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016748905181884766秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15350914001464844秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015568733215332031秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1603848934173584秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018186569213867188秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15361261367797852秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001611948013305664秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1662583351135254秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016334056854248047秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15628767013549805秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015411376953125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16918063163757324秒
ネットワークから姿勢データを得るまでの時間は　 : 0.21254801750183105秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16019940376281738秒
ネットワークから姿勢データを得るまでの時間は　 : 0.198516845703125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1599714756011963秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20497870445251465秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15419721603393555秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20692038536071777秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1525280475616455秒
ネットワークから姿勢データを得るまでの時間は　 : 0.21064996719360352秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15527939796447754秒
ネットワークから姿勢データを得るまでの時間は　 : 0.21373963356018066秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15505552291870117秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20969486236572266秒
点群が入力されてopen3dへ変換するまでの時間は : 0.2410593032836914秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20344877243041992秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15361499786376953秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20204782485961914秒
点群が入力されてopen3dへ変換するまでの時間は : 0.2216477394104004秒
ネットワークから姿勢データを得るまでの時間は　 : 0.2019050121307373秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1541140079498291秒
ネットワークから姿勢データを得るまでの時間は　 : 0.19860315322875977秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15906429290771484秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20138287544250488秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15672922134399414秒
ネットワークから姿勢データを得るまでの時間は　 : 0.20092988014221191秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15609335899353027秒
ネットワークから姿勢データを得るまでの時間は　 : 0.2038118839263916秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18624401092529297秒
ネットワークから姿勢データを得るまでの時間は　 : 0.200164794921875秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20540928840637207秒
ネットワークから姿勢データを得るまでの時間は　 : 0.2008376121520996秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1545569896697998秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016393661499023438秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16179895401000977秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014843940734863281秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15700387954711914秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015368461608886719秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15804553031921387秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014307498931884766秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15320754051208496秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014960765838623047秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15414118766784668秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015668869018554688秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15451526641845703秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015745162963867188秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15662574768066406秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015103816986083984秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15361380577087402秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015938282012939453秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15533661842346191秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001581430435180664秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15244603157043457秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015342235565185547秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15204763412475586秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015494823455810547秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15762591361999512秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001558065414428711秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15668821334838867秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015552043914794922秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15411710739135742秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014278888702392578秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15516972541809082秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014727115631103516秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15709137916564941秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016391277313232422秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15995073318481445秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001600503921508789秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15734457969665527秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016334056854248047秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16652345657348633秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017197132110595703秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15297818183898926秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015611648559570312秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1545877456665039秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014870166778564453秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15482139587402344秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015611648559570312秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20111370086669922秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016202926635742188秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15259408950805664秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016663074493408203秒
点群が入力されてopen3dへ変換するまでの時間は : 0.18342876434326172秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017960071563720703秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15490293502807617秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017132759094238281秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15487313270568848秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017833709716796875秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15445375442504883秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015616416931152344秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15219831466674805秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0014660358428955078秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15600228309631348秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016837120056152344秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1546649932861328秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015125274658203125秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15292930603027344秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016117095947265625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15406012535095215秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016317367553710938秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1522204875946045秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001617431640625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15888547897338867秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0019106864929199219秒
点群が入力されてopen3dへ変換するまでの時間は : 0.21262907981872559秒
ネットワークから姿勢データを得るまでの時間は　 : 0.00176239013671875秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15743613243103027秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015482902526855469秒
点群が入力されてopen3dへ変換するまでの時間は : 0.153700590133667秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0019571781158447266秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15880894660949707秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018007755279541016秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15546917915344238秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018944740295410156秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1546797752380371秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016529560089111328秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15476632118225098秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016198158264160156秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16276907920837402秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0019676685333251953秒
点群が入力されてopen3dへ変換するまでの時間は : 0.23573994636535645秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016391277313232422秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17079448699951172秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0019078254699707031秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16220712661743164秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015816688537597656秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15666580200195312秒
ネットワークから姿勢データを得るまでの時間は　 : 0.00292205810546875秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15376949310302734秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017490386962890625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16162538528442383秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0020208358764648438秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20017623901367188秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001569986343383789秒
点群が入力されてopen3dへ変換するまでの時間は : 0.17135882377624512秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0018093585968017578秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15772199630737305秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0021278858184814453秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15809154510498047秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0020608901977539062秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15892815589904785秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016603469848632812秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15664076805114746秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017919540405273438秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1556081771850586秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001581430435180664秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1564171314239502秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015287399291992188秒
点群が入力されてopen3dへ変換するまでの時間は : 0.19758987426757812秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015854835510253906秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15369272232055664秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016155242919921875秒
点群が入力されてopen3dへ変換するまでの時間は : 0.157667875289917秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016238689422607422秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1552114486694336秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016088485717773438秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1538698673248291秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015482902526855469秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15848803520202637秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015327930450439453秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15944337844848633秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015611648559570312秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1972188949584961秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0021004676818847656秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15475153923034668秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015769004821777344秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20017528533935547秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017120838165283203秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15407109260559082秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017237663269042969秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20457172393798828秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0020885467529296875秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15452098846435547秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015501976013183594秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15563392639160156秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015058517456054688秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15809297561645508秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016171932220458984秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15625619888305664秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016219615936279297秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1537923812866211秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015032291412353516秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1549818515777588秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001561880111694336秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15546655654907227秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015845298767089844秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15793848037719727秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017323493957519531秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15477490425109863秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016469955444335938秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15465426445007324秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016758441925048828秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15699434280395508秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017409324645996094秒
点群が入力されてopen3dへ変換するまでの時間は : 0.21140003204345703秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016970634460449219秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15354442596435547秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001676797866821289秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15567326545715332秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001508474349975586秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1557629108428955秒
ネットワークから姿勢データを得るまでの時間は　 : 0.002493619918823242秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16565632820129395秒
ネットワークから姿勢データを得るまでの時間は　 : 0.002418041229248047秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1650550365447998秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001783132553100586秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1561899185180664秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015654563903808594秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15658879280090332秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016264915466308594秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1543288230895996秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001627206802368164秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16753125190734863秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0017011165618896484秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1529076099395752秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015528202056884766秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15508747100830078秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0028312206268310547秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15451478958129883秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015726089477539062秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15711092948913574秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016884803771972656秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15758347511291504秒
ネットワークから姿勢データを得るまでの時間は　 : 0.001405954360961914秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1603989601135254秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016257762908935547秒
点群が入力されてopen3dへ変換するまでの時間は : 0.20703792572021484秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016696453094482422秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15701794624328613秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015213489532470703秒
点群が入力されてopen3dへ変換するまでの時間は : 0.16502928733825684秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015604496002197266秒
点群が入力されてopen3dへ変換するまでの時間は : 0.15714359283447266秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016376972198486328秒
点群が入力されてopen3dへ変換するまでの時間は : 0.1558065414428711秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0016117095947265625秒
点群が入力されてopen3dへ変換するまでの時間は : 0.2501072883605957秒
ネットワークから姿勢データを得るまでの時間は　 : 0.0015587806701660156秒
